Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id)
M. gastrocnemius;;Untere Extremität;Fuß & Sprunggelenk;Art. genus · Art. talocruralis;Kniegelenk · Sprunggelenk & Fuß;"Caput mediale: Femur, Facies poplitea, Condylus medialis; Caput laterale: Femur, Facies poplitea, Condylus lateralis";Tuber calcanei (über Achillessehne);"Beugt das Knie und plantarflektiert den Fuß; unterstützt die Supination; sorgt als zweigelenkiger Muskel für die Kraftentfaltung beim Zehenstand und Abstoßen";"Knie: Flexion; Fuß: Plantarflexion · Supination";N. tibialis;;"Wadenkrämpfe entstehen häufig durch Erschöpfung oder Elektrolytmangel; Achillessehnenrupturen treffen oft den Übergang zwischen Muskel und Sehne; als Suralispumpe fördert er venoses Blut herzwärts";nein;Oberflächliche Wadenmuskulatur;1;2;ja;M. gastrocnemius;gastrocnemius
M. gemellus inferior;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Tuber ischiadicum;Fossa trochanterica des Femur;Unterstützt die Außenrotation im Hüftgelenk;Außenrotation;Plexus sacralis;L5, S1;"Tiefe Außenrotatorengruppe; bei Reizung oder Verspannung kann Druckdolenz am Tuber ischiadicum auf diesen Muskel hindeuten";nein;;3;2;ja;M. gemellus inferior;gemellus-inferior
M. gemellus superior;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Spina ischiadica;Fossa trochanterica des Femur;Unterstützt die Außenrotation im Hüftgelenk;Außenrotation;Plexus sacralis;L5, S1;"Ebenfalls Teil der tiefen Außenrotatorengruppe; klinisch kaum isoliert testbar, wird funktionell immer mit dem M. obturatorius internus bewertet";nein;;3;2;ja;M. gemellus superior;gemellus-superior
M. geniohyoideus;;Kopf & Hals;Suprahyoidale Muskeln;Zungenbein;Zungenbein & Kehlkopf;Spina mentalis (Innenseite des Corpus mandibulae);Corpus ossis hyoidei;"Der M. geniohyoideus zieht das Zungenbein kräftig nach ventral und kranial; damit hebt er den Kehlkopf beim Schlucken an und verkürzt den Abstand zwischen Kinn und Zungenbein. Bei festem Zungenbein wirkt er als Mundöffner.";Zungenbeinanhebung und -vorverlagerung · Mundöffnung;N. hypoglossus (XII) mit Fasern aus C1;C1;"Der M. geniohyoideus ist beim Schluckakt unverzichtbar; er zieht das Zungenbein nach vorn und oben und ermöglicht so die laryngeale Elevation. Schwäche führt zu pharyngealer Dysphagie.";nein;Suprahyoidale Muskeln;2;0;ja;M. geniohyoideus;geniohyoideus
M. gluteus maximus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;"Tiefer Teil: Ala ossis ilii (Facies glutealis), Lig. sacrotuberale; Oberflächlicher Teil: Fascia thoracolumbalis, Crista iliaca, SIPS, dorsale Fläche des Sacrums, Os coccygis";"Tractus iliotibialis; Tuberositas glutealis femoris";"Hauptextensor des Hüftgelenks; dreht den Oberschenkel nach außen; die lateralen Anteile wirken zusätzlich als Abduktoren und spannen den Tractus iliotibialis";Extension · Außenrotation · Abduktion;N. gluteus inferior;L5, S1, S2;"Insuffizienz führt zu positivem Trendelenburg-Zeichen; spielt eine wichtige Rolle beim Treppensteigen, Aufstehen und beim Hingleiten ins Hohlkreuz";nein;;1;2;ja;M. gluteus maximus;gluteus-maximus
M. gluteus medius;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Ala ossis ilii, Facies glutealis;Trochanter major (lateral);"Führt das Bein seitwärts (Abduktion); vordere Fasern rotieren nach innen und beugen, hintere Fasern rotieren nach außen und strecken; essentiell für die Beckenstabilisierung im Einbeinstand";Abduktion · Flexion · Innenrotation · Extension · Außenrotation;N. gluteus superior;L4, L5, S1;"Insuffizienz führt zu positivem Trendelenburg-Zeichen mit Absinken des kontralateralen Beckens in der Standphase; häufige Ursache von Gangstörungen";nein;;1;3;ja;M. gluteus medius;gluteus-medius
M. gluteus minimus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Ala ossis ilii, Facies glutealis;Spitze des Trochanter major;"Abduziert die Hüfte und unterstützt die Innenrotation (ventrale Fasern) bzw. Außenrotation (dorsale Fasern); Funktion nahezu identisch mit Gluteus medius";Abduktion · Flexion · Innenrotation · Extension · Außenrotation;N. gluteus superior;L4, L5, S1;"Funktionell eng mit dem Gluteus medius verwandt; bei Insuffizienz ebenfalls Trendelenburg-Zeichen möglich; wird selten isoliert getestet";nein;;2;3;ja;M. gluteus minimus;gluteus-minimus
M. gracilis;;Untere Extremität;Hüfte;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Os pubis, Ramus inferior;Tibia, Facies medialis (Pes anserinus);"Adduziert das Bein im Hüftgelenk; im Kniegelenk wirkt er als Beuger und Innenrotator des Unterschenkels";Hüftadduktion · Knieflexion · Knie-Innenrotation;N. obturatorius;L2, L3;Pes-anserinus-Syndrom, Sehnentransplantat (Kreuzbandplastik);nein;Adduktorengruppe der Hüfte;2;1;ja;M. gracilis;gracilis
M. iliacus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Fossa iliaca des Ileums und Spina iliaca anterior inferior;Trochanter minor des Femur;"Flektiert das Hüftgelenk und rotiert den Oberschenkel nach außen; bei feststehendem Bein kippt er das Ilium nach ventral";Flexion · Adduktion · Außenrotation;Plexus lumbalis;L2, L3;"Bei prolongiertem Sitzen häufig verkürzt, was zu einer Hüftbeugekontraktur und Beckenkippung nach vorne führen kann; relevant bei Hüftgelenkserkrankungen";nein;;1;2;ja;M. iliacus;iliacus
M. infraspinatus;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Fossa infraspinata der Scapula;Mittlerer Teil des Tuberculum majus, Gelenkkapsel;"Außenrotation; unterstützt die Abduktion bzw. Adduktion je nach Faseranteil";Außenrotation · Abduktion · Adduktion;N. suprascapularis;C4, C5, C6;Rotatorenmanschettenruptur;nein;Rotatorenmanschette;1;2;ja;M. infraspinatus;infraspinatus
M. latissimus dorsi;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Procc. spinosi Th7–Th12, Fascia thoracolumbalis, Crista iliaca (hinterer Teil), 10.–12. Rippe;Crista tuberculi minoris humeri;"Extension, Adduktion und Innenrotation im Schultergelenk; zieht den Rumpf bei fixierten Armen heran";Extension · Adduktion · Innenrotation;N. thoracodorsalis;C6, C7, C8;Klimmzugmuskel, Verkürzung bei Rundrücken;nein;;1;1;ja;M. latissimus dorsi;latissimus-dorsi
M. levator ani;;Wirbelsäule & Rumpf;Beckenboden;Becken;Bauchwand & Beckenboden;"M. puborectalis: Corpus ossis pubis; M. pubococcygeus: Arcus tendineus m. levatoris ani; M. iliococcygeus: Spina ischiadica";"Os coccygis; Lig. anococcygeum";Der M. levator ani bildet die muskuläre Hauptplatte des Beckenbodens und übernimmt mehrere Aufgaben gleichzeitig: Er trägt die Beckenorgane, sichert Harn- und Stuhlkontinenz und hebt bei Kontraktion den Beckenboden an. Zudem verengt er Harnröhre und Rektum reflektorisch bei intraabdominaler Druckerhöhung.;Stützt Beckeneingeweide · Kontinenz;Plexus sacralis, N. pudendus;S3, S4;Beckenbodenschwäche, Inkontinenz, Deszensus;nein;Beckenboden;2;0;ja;M. levator ani;levator-ani
M. levator scapulae;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Procc. transversi C1–C4 (Tubercula posteriora);Angulus superior und oberer Teil der Margo medialis scapulae;"Elevation und Abwärtsrotation der Scapula; ipsilaterale HWS-Beugung und -Rotation";Elevation · Innenrotation;Plexus cervicalis, N. dorsalis scapulae;C4, C5;Häufige Verspannungen, Torticollis;nein;;1;3;ja;M. levator scapulae;levator-scapulae
M. longus capitis;;Kopf & Hals;Prävertebrale Muskeln;Kopfgelenke;Wirbelsäule;Procc. transversi C3–C6 (Tubercula anteriora);Pars basilaris ossis occipitalis;Der M. longus capitis beugt den Kopf nach vorn (Inklination) und stabilisiert die obere HWS. Er arbeitet synergistisch mit dem M. longus colli und bildet gemeinsam mit ihm die tiefe zervikale Flexorenschicht.;Flexion des Kopfes (Inklination);Rr. ventrales der Spinalnerven C1–C3;C1–C3;"Der M. longus capitis ist bei HWS-Dysfunktionen und nach Schleudertraumata häufig in seiner Funktion beeinträchtigt; Schwäche zeigt sich durch Verlust der tiefen Nackenstabilisation und Vorschub des Kopfes (Forward Head Posture).";nein;;2;0;ja;M. longus capitis;longus-capitis
M. longus colli;;Kopf & Hals;Prävertebrale Muskeln;Halswirbelsäule;Wirbelsäule;"Pars verticalis: Wirbelkörper C5–Th3; Pars obliqua superior: Procc. transversi C3–C5; Pars obliqua inferior: Wirbelkörper Th1–Th3";"Tuberculum anterius atlantis (Pars obliqua superior); Wirbelkörper C2–C4 (Pars verticalis); Procc. transversi C5–C6 (Pars obliqua inferior)";Der M. longus colli beugt die Halswirbelsäule nach ventral (Nickbewegung) und stabilisiert sie segmental. Er ist der wichtigste tiefe Flexor der HWS und trägt durch seine permanente Aktivität zur zervikalen Haltungsstabilisation bei.;Flexion der HWS · Lateralflexion · Rotation ipsilateral;Rr. ventrales der Spinalnerven C2–C6;C2–C6;"Der M. longus colli ist der wichtigste tiefe Stabilisator der Halswirbelsäule; seine Schwäche ist mit chronischem Nackenschmerz, HWS-Instabilität und nach Schleudertrauma mit Schwindel und Sehstörungen assoziiert.";nein;;2;0;ja;M. longus colli;longus-colli
M. masseter;;Kopf & Hals;Kaumuskulatur;Kiefergelenk;Mimik & Kopfmuskulatur;Arcus zygomaticus (unterer Rand und Innenfläche);Tuberositas masseterica (Außenfläche des Ramus mandibulae);Der M. masseter ist der kräftigste Kaumuskel: Er schließt den Mund und hebt den Unterkiefer an. Der oberflächliche Anteil ermöglicht zusätzlich eine Protrusion des Unterkiefers, der tiefe Anteil zieht ihn nach posterior.;Mundschluss (Adduktion des Unterkiefers) · Protrusion;N. massetericus (V3, N. trigeminus);;"Der M. masseter ist der häufigste Ort für Bruxismus-bedingte Muskelhypertrophie; bei Kiefergelenks-Dysfunktionen (CMD) ist er oft druckschmerzhaft und kann zu Kopf- und Ohrschmerzen führen.";nein;Kaumuskulatur;1;0;ja;M. masseter;masseter
M. mylohyoideus;;Kopf & Hals;Suprahyoidale Muskeln;Kiefergelenk · Zungenbein;Mimik & Kopfmuskulatur · Zungenbein & Kehlkopf;Linea mylohyoidea (Innenfläche des Corpus mandibulae);"Corpus ossis hyoidei; Raphe mylohyoidea";Der M. mylohyoideus hebt den Mundboden und das Zungenbein an – ein entscheidender Schritt beim Schlucken. Bei festem Zungenbein kann er zudem den Unterkiefer absenken und unterstützt so die Mundöffnung.;Mundbodenhebung · Zungenbeinanhebung · Mundöffnung;N. mylohyoideus (V3, N. trigeminus);;"Der M. mylohyoideus spielt eine zentrale Rolle beim Schluckakt; bei Läsionen des N. mylohyoideus nach Weisheitszahn-OPs oder Frakturen des Unterkiefers kann es zu Schluckstörungen und eingeschränkter Mundbodenhebung kommen.";nein;Suprahyoidale Muskeln;1;0;ja;M. mylohyoideus;mylohyoideus
M. nasalis;;Kopf & Hals;Mimikmuskulatur;Nase;Mimik & Kopfmuskulatur;Seitlich an der Nase (Maxilla, lateral des Nasenrückens);Nasenrücken / Nasenknorpelregion;"Pars transversa: Verengt die Nasenöffnung; zieht Nasenrücken nach unten und medial.";Verengt Nasenöffnung (Pars transversa);N. facialis (VII);;Bei vollständiger Fazialisparese ist die aktive Nasenbeweglichkeit eingeschränkt, was bei forcierter Nasenatmung auffällt.;nein;Mimische Muskulatur;3;0;nein;M. nasalis;nasalis-head-mimikmuskulatur-verengt-nasenoffnung-pars-transversa
M. nasalis;;Kopf & Hals;Mimikmuskulatur;Nase;Mimik & Kopfmuskulatur;An den Nasenflügeln (Ala nasi);Nasenflügel (Ala nasi);"Pars alaris: Erweitert die Nasenöffnung durch Aufspreizen der Nasenflügel; aktiv bei forcierter Inspiration.";Erweitert / bläht Nasenloch (Pars alaris);N. facialis (VII);;"Schwäche der Pars alaris → verminderte Nasenflügelerweiterung bei forciertem Einatmen; auffällig bei Fazialisparese.";nein;Mimische Muskulatur;3;0;ja;M. nasalis;nasalis-head-mimikmuskulatur-erweitert-blaht-nasenloch-pars-alaris
M. obliquus externus abdominis;;Wirbelsäule & Rumpf;Bauchmuskulatur;Rumpf;Bauchwand & Beckenboden;Außenfläche der 5.–12. Rippe;Crista iliaca, Lig. inguinale, Linea alba, Rektusscheide;"Beidseitig zieht der M. obliquus externus den Brustkorb nach unten und beugt den Rumpf; einseitig dreht er die Rumpfmittellinie zur Gegenseite und unterstützt die Lateralflexion zur eigenen Seite. Er ist zudem wesentlich an der Erhöhung des intraabdominalen Drucks beteiligt.";Flexion · Lateralflexion ipsilateral · Rotation kontralateral;Nn. intercostales, N. iliohypogastricus, N. ilioinguinalis;Th5–Th12;Bauchpresse, Leistenkanal;nein;Bauchwand;1;0;ja;M. obliquus externus abdominis;obliquus-externus-abdominis
M. obliquus internus abdominis;;Wirbelsäule & Rumpf;Bauchmuskulatur;Rumpf;Bauchwand & Beckenboden;Fascia thoracolumbalis, Crista iliaca, Lig. inguinale;Rippenknorpel 10–12, Linea alba, Rektusscheide;"Beidseits aktiviert beugt der M. obliquus internus den Rumpf; einseitig erzeugt er eine Rotation zur gleichen Seite sowie eine Lateralflexion ipsilateral. Zusammen mit dem M. transversus abdominis trägt er wesentlich zur Rumpfstabilisation bei.";Flexion · Lateralflexion ipsilateral · Rotation ipsilateral;Nn. intercostales, N. iliohypogastricus, N. ilioinguinalis;Th8–Th12;Bauchpresse, stabilisiert Rumpf;nein;Bauchwand;1;0;ja;M. obliquus internus abdominis;obliquus-internus-abdominis
M. obturatorius externus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Os coxae und Membrana obturatoria (Außenseite);Fossa trochanterica des Femur;Dreht den Oberschenkel im Hüftgelenk nach außen;Außenrotation;N. obturatorius;L3, L4;"Ebenfalls Teil der tiefen Außenrotatorengruppe; klinisch kaum isoliert testbar, wird funktionell immer mit dem M. obturatorius internus bewertet";nein;;3;2;ja;M. obturatorius externus;obturatorius-externus
M. obturatorius internus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Os coxae und Membrana obturatoria (Innenseite);Fossa trochanterica des Femur;Dreht den Oberschenkel im Hüftgelenk nach außen;Außenrotation;Plexus sacralis;L5, S1;"Teil der tiefen Außenrotatorengruppe; klinisch häufig zusammen mit Piriformis und den Gemelli beurteilt; gut zu testen im Seitenvergleich der Außenrotationskraft";nein;;3;1;ja;M. obturatorius internus;obturatorius-internus
M. occipitofrontalis;;Kopf & Hals;Mimikmuskulatur;Stirn · Galea;Mimik & Kopfmuskulatur;Galea aponeurotica (vorderes Blatt);Haut der Stirn und Augenbrauen;"Hebt die Augenbrauen; erzeugt horizontale Querfalten der Stirn; verschiebt Galea nach anterior.";Hebt Augenbrauen · erzeugt Querfalten der Stirn;N. facialis (VII), Rr. temporales;;"Venter frontalis: häufiges Zielorgan bei ästhetischer Botulinum-Toxin-Behandlung von Stirnfalten; Überaktivität kompensatorisch bei Ptosis.";nein;Mimische Muskulatur;2;0;nein;M. occipitofrontalis;occipitofrontalis-head-mimikmuskulatur-hebt-augenbrauen
M. occipitofrontalis;;Kopf & Hals;Mimikmuskulatur;Galea · Kopfhaut;Mimik & Kopfmuskulatur;Linea nuchalis superior (Os occipitale) und Mastoidregion;Galea aponeurotica (hinteres Blatt);"Zieht Galea aponeurotica nach dorsal; Antagonist zum Venter frontalis; ermöglicht gleitende Kopfhautbewegung.";Zieht Kopfhaut nach dorsal · fixiert Galea aponeurotica;N. facialis (VII), R. auricularis posterior;;"Verspannungen des Venter occipitalis können zu okzipitalen Kopfschmerzen beitragen; häufig begleitend bei Nackenverspannungen.";nein;Mimische Muskulatur;3;0;ja;M. occipitofrontalis;occipitofrontalis-head-mimikmuskulatur-zieht-kopfhaut-nach-dorsal
M. omohyoideus;;Kopf & Hals;Infrahyoidale Muskeln;Zungenbein;Zungenbein & Kehlkopf;Margo superior scapulae (medial der Incisura scapulae);Corpus ossis hyoidei (Cornu majus);"Der M. omohyoideus senkt das Zungenbein nach kaudal und spannt die mittlere Halsfaszie; durch die Spannung der Fascia cervicalis media hält er die V. jugularis interna offen und verhindert deren venösen Kollaps.";Zungenbeinabsenkung · Spannung der Halsfaszie;Ansa cervicalis;C1–C3;"Der M. omohyoideus spannt die tiefe Halsfaszie und verhindert dadurch einen venösen Stau in der V. jugularis interna; klinisch ist er bei Nackendissektionen relevant, da er als anatomische Leitstruktur dient.";nein;Infrahyoidale Muskeln;2;0;ja;M. omohyoideus;omohyoideus
M. opponens digiti minimi;;Obere Extremität;Hand & Finger;CMC;Hand;Hamulus ossis hamati und Retinaculum flexorum;Os metacarpale V;Opposition des kleinen Fingers im CMC-Gelenk;CMC-Opposition;N. ulnaris;C8, Th1;Ulnarisparese;nein;;2;1;ja;M. opponens digiti minimi#manus;opponens-digiti-minimi-upper-hand-cmc-opposition
M. opponens digiti minimi;;Untere Extremität;Fuß & Sprunggelenk;MTP Zeh V;Sprunggelenk & Fuß;"Lig. plantare longum; Basis des Os metatarsale V; Sehnenscheide des M. fibularis longus";Lateraler Rand des Os metatarsale V;Unterstützt Flexion und Abduktion der Kleinzehe und stabilisiert das laterale Längsgewölbe des Fußes;Zeh V: Flexion und Abduktion des MTP-Gelenks;N. tibialis (N. plantaris lateralis);S2, S3;"Wird in manchen Darstellungen nicht als eigener Muskel geführt; funktionell unterstützt er die Stabilität des äußeren Fußrandes";nein;;3;1;ja;M. opponens digiti minimi;opponens-digiti-minimi-lower-fuss-zeh-v-flexion-und-abduktion-des-mtp-gelenks
M. opponens pollicis;;Obere Extremität;Hand & Finger;Daumensattelgelenk;Hand;Os trapezium und Retinaculum flexorum;Os metacarpale I;Opposition des Daumens im Sattelgelenk;CMC-Adduktion · Opposition;N. medianus;C6, C7;Medianusparese – Verlust der Daumenopposition;nein;Daumenballen (Thenar);2;1;ja;M. opponens pollicis;opponens-pollicis
M. orbicularis oculi;;Kopf & Hals;Mimikmuskulatur;Augenlid;Mimik & Kopfmuskulatur;Orbitarand und Tarsalregion (umgibt die Orbita ringförmig);Haut um die Orbita, Tarsalregion und medialer Lidwinkel;Der M. orbicularis oculi schließt das Auge. Die Pars palpebralis sorgt für spontanen Lidschluss, die Pars orbitalis für festes Zusammenkneifen.;Lidschluss (willkürlich und reflektorisch);N. facialis (VII);;Bei peripherer Fazialisparese kommt es zum inkompletten Lidschluss (Lagophthalmus), was zu schwerer Hornhautschädigung (Expositionskeratitis) führen kann.;nein;Mimische Muskulatur;1;0;ja;M. orbicularis oculi;orbicularis-oculi
M. orbicularis oris;;Kopf & Hals;Mimikmuskulatur;Mund;Mimik & Kopfmuskulatur;Haut und Muskulatur der Lippen, Modiolus;Haut und Muskulatur der Lippen (orbitalе und marginale Faserbündel);"Der M. orbicularis oris schließt die Lippen und formt sie für Sprechen, Pusten und Pfeifen; seine oberflächlichen und tiefen Faserbündel wirken zusammen, um Mund und Lippen präzise zu steuern.";Mundschluss · Lippenformung · Pusten · Sprechen;N. facialis (VII), Rr. buccales und marginales mandibulares;;"Bei peripherer Fazialisparese ist der M. orbicularis oris gelähmt; es kommt zu inkomplettem Lippenschluss (Mundsegelphänomen), Speichelfluss und beeinträchtigter Artikulation.";nein;Mimische Muskulatur;1;0;ja;M. orbicularis oris;orbicularis-oris
M. palmaris brevis;;Obere Extremität;Hand & Finger;;Hand;Aponeurosis palmaris;Haut der ulnaren Handseite;Spannt die Haut am Kleinfingerballen;Spannt die Haut des Kleinfingerballens;N. ulnaris;C8, Th1;Ulnarisparese;nein;;3;1;ja;M. palmaris brevis;palmaris-brevis
M. palmaris longus;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus medialis humeri;Aponeurosis palmaris;"Palmarflexion im Handgelenk; spannt die Palmaraponeurose";Palmarflexion;N. medianus;C8, Th1;Fehlt bei ca. 14% der Menschen, Sehnentransplantat-Spender;nein;;2;1;ja;M. palmaris longus;palmaris-longus
M. pectineus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Pecten ossis pubis;Linea pectinea des Femur;"Adduziert den Oberschenkel und beugt ihn leicht im Hüftgelenk; eine geringe Außenrotation ist ebenfalls möglich";Adduktion · Flexion · Außenrotation;N. femoralis, N. obturatorius;L2, L3;"Adduktorenzerrungen betreffen besonders diesen Muskel, da er mechanisch stark belastet wird; als Ursprungstendinopathie am Schambein auch als Sportlerleiste bekannt";nein;Adduktorengruppe der Hüfte;2;1;ja;M. pectineus;pectineus
M. pectoralis major;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;"Pars clavicularis: Mediale Clavicula; Pars sternocostalis: Ventrale Sternumseite und 2.–6. Rippenknorpel; Pars abdominalis: Rektusscheide";Crista tuberculi majoris humeri;"Adduktion und Innenrotation; je nach Anteil zusätzlich Flexion oder Extension im Schultergelenk";Adduktion · Innenrotation · Flexion;Nn. pectorales mediales et laterales;C5, C6, C7, C8, Th1;Pectoralis-major-Ruptur, Verkürzung bei Protraktionshaltung;nein;;1;2;ja;M. pectoralis major;pectoralis-major
M. pectoralis minor;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Ventrale Seite der 3.–5. Rippe;Proc. coracoideus der Scapula;"Senkt die Scapula und zieht sie nach vorn; bei fixiertem Schultergürtel inspiratorische Nebenfunktion";Depression · Protraktion;N. pectoralis medialis;C6, C7, C8, Th1;Verkürzung bei Rundrücken, Thoracic-Outlet-Syndrom;nein;;1;2;ja;M. pectoralis minor;pectoralis-minor
M. piriformis;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Os sacrum, Facies pelvica;Trochanter major des Femur;"Außenrotiert den Oberschenkel im Hüftgelenk; wirkt bei 90° Hüftbeugung zusätzlich als Abduktor";Außenrotation · Abduktion;Plexus sacralis;S1, S2;"Gehört zur Gruppe der tiefen Außenrotatoren; bei Verletzungen oder Reizzuständen können Beschwerden die ischiadikusähnliche Symptomatik imitieren";nein;;2;2;ja;M. piriformis;piriformis
M. plantaris;;Untere Extremität;Fuß & Sprunggelenk;Art. genus · Art. talocruralis;Kniegelenk · Sprunggelenk & Fuß;Femur, Facies poplitea;Tuber calcanei;"Schwächer Plantarflexor und Kniebeuger; bei fehlendem Muskel übernehmen Gastrocnemius und Soleus vollständig seine Funktion";"Knie: Flexion; Fuß: Plantarflexion · Supination";N. tibialis;;"Der Muskel fehlt bei vielen Menschen ganz; meist bleibt das ohne Beschwerden, die Sehne wird aber teils als Transplantat genutzt";nein;Oberflächliche Wadenmuskulatur;3;1;ja;M. plantaris;plantaris
M. popliteus;;Untere Extremität;Knie;Art. genus;Kniegelenk;Epicondylus lateralis femoris, Hinterseite der Gelenkkapsel, Meniscus lateralis;Tibia, Facies posterior;Leitet die Kniebeugung ein, rotiert den Unterschenkel nach innen und entlastet den Außenmeniskus;Knieflexion · Knie-Innenrotation;N. tibialis;L4, L5, S1;"Gilt als Schlüssel zur Kniebeweglichkeit: Er ‘entriegelt’ das voll gestreckte Knie durch Innenrotation, bevor eine Flexion möglich ist; Verletzungen können Knieblockaden verursachen";nein;;2;1;ja;M. popliteus;popliteus
M. procerus;;Kopf & Hals;Mimikmuskulatur;Nase · Stirn;Mimik & Kopfmuskulatur;Nasenwurzel / Dorsalfläche der Nase (Nasenknorpel und Os nasale);Haut über der Glabella und der unteren Stirn;"Der M. procerus zieht die Haut über der Glabella nach kaudal und erzeugt Querfalten an der Nasenwurzel; er senkt den medialen Augenbrauenanteil und antagonisiert den M. frontalis.";Runzeln über Nasenwurzel · Senken des medialen Augenbrauenanteils;N. facialis (VII);;"Hyperaktivität führt zu queren Falten an der Nasenwurzel; Zielmuskel bei Botulinum-Toxin-Therapie für Zornesfalten.";nein;Mimische Muskulatur;3;0;ja;M. procerus;procerus
M. pronator quadratus;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;Distales Viertel der Facies anterior ulnae;Distales Viertel der Facies anterior radii;"Pronation im Unterarm; stabilisiert Radius und Ulna distal";Pronation;N. medianus;C8, Th1;Distale Unterarmfraktur;nein;;2;1;ja;M. pronator quadratus;pronator-quadratus
M. pronator teres;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;Epicondylus medialis humeri, mediale Seite der Tuberositas ulnae;Facies lateralis radii;"Pronation im Unterarm; unterstützt die Ellenbogenflexion";Flexion · Pronation;N. medianus;C6, C7;Pronator-teres-Syndrom (N. medianus-Kompression);nein;;1;3;ja;M. pronator teres;pronator-teres
M. psoas major;;Untere Extremität;Hüfte;Art. coxae · LWS;Wirbelsäule · Hüftgelenk;"Wirbelkörper (BWK 12 / LWK 1–4) und Disci intervertebrales; Procc. costales LWK 1–5 (tiefer Anteil)";Trochanter minor des Femur;"Beugt die Hüfte und adduziert den Oberschenkel; bei fixiertem Femur verstärkt er die Lendenlordose; wirkt zudem als Außenrotator im Hüftgelenk";Flexion · Adduktion · Außenrotation;Plexus lumbalis;L1, L2, L3;"Verkürzungen entstehen häufig durch langes Sitzen; klinisch relevant bei LWS-Beschwerden, Hyperlordose und dem sog. Psoassyndrom mit Leisten- und Rückenschmerzen";nein;;1;3;ja;M. psoas major;psoas-major
M. psoas minor;;Untere Extremität;Hüfte;Becken;Hüftgelenk;Wirbelkörper Th12/L1;Eminentia iliopubica;Kippt das Becken nach dorsal (Retroversion) und unterstützt die Stabilisierung der Lendenwirbelsäule in Streckstellung;Beckenkippung rückwärts;Plexus lumbalis;L1;Dieser Muskel fehlt bei etwa 10 % der Menschen und ist dann funktionell durch den Psoas major kompensiert – klinisch meist bedeutungslos, kann jedoch bei bildgebenden Verfahren als Zufallsbefund auffallen;nein;;3;0;ja;M. psoas minor;psoas-minor
M. pterygoideus lateralis;;Kopf & Hals;Kaumuskulatur;Kiefergelenk;Mimik & Kopfmuskulatur;"Caput superius: Facies infratemporalis des Os sphenoidale; Caput inferius: Caput laterale des Proc. condylaris";"Capsula articularis und Discus articularis (Caput superius); Proc. condylaris mandibulae (Caput inferius)";Der M. pterygoideus lateralis öffnet bei beidseitiger Kontraktion den Mund und zieht den Unterkiefer nach vorn. Bei einseitiger Aktivität verschiebt er den Unterkiefer zur Gegenseite (Laterotrusion) und ermöglicht damit Mahlbewegungen.;Mundöffnung (Abduktion) · Protrusion · Laterotrusion;N. pterygoideus lateralis (V3, N. trigeminus);;"Der M. pterygoideus lateralis ist der Schlüsselmuskel für Kieferöffnung und Mahlbewegungen; bei CMD und Kiefergelenksarthropathien ist er häufig verspannt und verursacht präaurikuläre Schmerzen und Kieferknacken.";nein;Kaumuskulatur;2;0;ja;M. pterygoideus lateralis;pterygoideus-lateralis
M. pterygoideus medialis;;Kopf & Hals;Kaumuskulatur;Kiefergelenk;Mimik & Kopfmuskulatur;"M. pterygoideus medialis (Pars superficialis): Fossa pterygoidea; Tuber maxillae";Tuberositas pterygoidea (Innenfläche des Ramus mandibulae);Der M. pterygoideus medialis schließt gemeinsam mit dem M. masseter den Mund und hebt den Unterkiefer an. Er ermöglicht zudem Protrusion und Mahlbewegungen des Unterkiefers (Laterotrusion zur Gegenseite).;Mundschluss · Protrusion · Laterotrusion;N. pterygoideus medialis (V3, N. trigeminus);;"Der M. pterygoideus medialis ist bei Kiefergelenks-Dysfunktionen (CMD) oft verspannt; zusammen mit dem M. masseter bildet er die sogenannte Masseterschlinge, Spannungen können Schluckbeschwerden und Trismus auslösen.";nein;Kaumuskulatur;2;0;ja;M. pterygoideus medialis;pterygoideus-medialis
